threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,total_cost
0.1,3852,52686,33,4932,0.08559825054670415,0.9933534743202417,10702200
0.15,8918,47620,99,4866,0.09271043706893267,0.980060422960725,10019000
0.2,14385,42153,238,4727,0.10083191126279864,0.9520644511581068,9620600
0.25,20060,36478,400,4565,0.11122481300099896,0.919436052366566,9295600
0.3,25308,31230,589,4376,0.12290063472448463,0.8813695871097684,9191000
0.35,30115,26423,810,4155,0.13588200667146313,0.8368580060422961,9334600
0.4,34484,22054,1075,3890,0.14993832870798643,0.783484390735146,9785800
0.45,38440,18098,1334,3631,0.16710387040360808,0.7313192346424975,10289600
0.5,41988,14550,1657,3308,0.1852391085227909,0.6662638469284995,11195000
0.55,45203,11335,2009,2956,0.20684346791687075,0.5953675730110776,12312000
0.6,47956,8582,2383,2582,0.23127911142959512,0.5200402819738167,13631400
0.65,50375,6163,2802,2163,0.2597886139803027,0.43564954682779455,15242600
0.7,52441,4097,3250,1715,0.29507914659325535,0.34541792547834843,17069400
0.75,54078,2460,3693,1272,0.3408360128617363,0.25619335347432026,18957000
0.8,55293,1245,4108,857,0.4077069457659372,0.17260825780463243,20789000
0.85,56079,459,4538,427,0.481941309255079,0.08600201409869083,22781800
